document path,document ID,courseDescription,courseID,courseName,course thumbnail,track,created time,updated time
projects/wiseenglishacademy-fina-v6dt4r/databases/(default)/documents/courses/7ptlI8FRyjh8lTarddf2,7ptlI8FRyjh8lTarddf2,C033,C033,Riyad as-Salihin Explained with Shaykh Dr Tarek Elgawhary,https://raw.githubusercontent.com/wiseenglishacademyuk/appassets/b6f2153b2ab81bea740ff0d28a935caf2b82a16e/Untitled%20design%20(1).png,projects/wiseenglishacademy-fina-v6dt4r/databases/(default)/documents/tracks/fgsIrVdeGttBzv5HVKry,07/29/2025 18:44,07/29/2025 18:44
projects/wiseenglishacademy-fina-v6dt4r/databases/(default)/documents/courses/C001,C001,"This course is an introductory Theology (Aqidah) course in Islamic Creed. The course uses “Ascent to Felicity” by Imam Abu al-Ikhlas al-Shurumbulali (may Allah have mercy on him), translated by Sh. Faraz A. Khan.",C001,Essentials of Islam by Ahmad Zayn al-Habashi (الرسالة الجامعة و التذكرة النافعة),https://wiseenglishacademy-app-assets.pages.dev/C001.webp,projects/wiseenglishacademy-fina-v6dt4r/databases/(default)/documents/tracks/fgsIrVdeGttBzv5HVKry,07/12/2024 11:34,12/20/2024 11:58
projects/wiseenglishacademy-fina-v6dt4r/databases/(default)/documents/courses/C002,C002,NA,C002,Ultimate Conspectus by Abi Shuja,https://wiseenglishacademy-app-assets.pages.dev/C002.webp,projects/wiseenglishacademy-fina-v6dt4r/databases/(default)/documents/tracks/fgsIrVdeGttBzv5HVKry,07/12/2024 11:34,01/03/2025 09:34
projects/wiseenglishacademy-fina-v6dt4r/databases/(default)/documents/courses/C003,C003,NA,C003,Etiquette of the Learner,https://wise-app-assets.pages.dev/C003.webp,projects/wiseenglishacademy-fina-v6dt4r/databases/(default)/documents/tracks/4OwTc69qgp4AFtlbBO6X,07/12/2024 11:34,07/16/2024 20:08
projects/wiseenglishacademy-fina-v6dt4r/databases/(default)/documents/courses/C004,C004,NA,C004,The Abridgment of the Branches of Faith by al-Bayhaqi (مختصر شعب الإيمان),https://wiseenglishacademy-app-assets.pages.dev/C004.webp,projects/wiseenglishacademy-fina-v6dt4r/databases/(default)/documents/tracks/fgsIrVdeGttBzv5HVKry,07/12/2024 11:34,07/12/2024 11:34
projects/wiseenglishacademy-fina-v6dt4r/databases/(default)/documents/courses/C005,C005,NA,C005,The Absolute Essentials of Islam,https://wiseenglishacademy-app-assets.pages.dev/C005.webp,projects/wiseenglishacademy-fina-v6dt4r/databases/(default)/documents/tracks/UwPZoN4CO7W9Z0egWWSo,07/12/2024 11:34,07/12/2024 11:34
projects/wiseenglishacademy-fina-v6dt4r/databases/(default)/documents/courses/C006,C006,NA,C006,The Principles of Islamic Jurisprudence by al-Shashi (Usul al-Shashi),https://wiseenglishacademy-app-assets.pages.dev/C006.webp,projects/wiseenglishacademy-fina-v6dt4r/databases/(default)/documents/tracks/UwPZoN4CO7W9Z0egWWSo,07/12/2024 11:34,07/12/2024 11:34
projects/wiseenglishacademy-fina-v6dt4r/databases/(default)/documents/courses/C007,C007,NA,C007,Ascent to Felicity – A Manual on Islamic Creed and Hanafi Jurisprudence,https://wiseenglishacademy-app-assets.pages.dev/C007.webp,projects/wiseenglishacademy-fina-v6dt4r/databases/(default)/documents/tracks/UwPZoN4CO7W9Z0egWWSo,07/12/2024 11:34,07/12/2024 11:34
projects/wiseenglishacademy-fina-v6dt4r/databases/(default)/documents/courses/C008,C008,NA,C008,The Seekers Aid of al-Maydani,https://wiseenglishacademy-app-assets.pages.dev/C008.webp,projects/wiseenglishacademy-fina-v6dt4r/databases/(default)/documents/tracks/UwPZoN4CO7W9Z0egWWSo,07/12/2024 11:34,07/12/2024 11:34
projects/wiseenglishacademy-fina-v6dt4r/databases/(default)/documents/courses/C009,C009,NA,C009,The Creed of Imam al-Tahawi,https://wiseenglishacademy-app-assets.pages.dev/C009.webp,projects/wiseenglishacademy-fina-v6dt4r/databases/(default)/documents/tracks/UwPZoN4CO7W9Z0egWWSo,07/12/2024 11:34,07/12/2024 11:34
projects/wiseenglishacademy-fina-v6dt4r/databases/(default)/documents/courses/C010,C010,NA,C010,Fiqh al-Akbar,https://wiseenglishacademy-app-assets.pages.dev/C010.webp,projects/wiseenglishacademy-fina-v6dt4r/databases/(default)/documents/tracks/UwPZoN4CO7W9Z0egWWSo,07/12/2024 11:34,07/12/2024 11:34
projects/wiseenglishacademy-fina-v6dt4r/databases/(default)/documents/courses/C011,C011,NA,C011,Jawhara Tawhid of Imam Al-Laqqani,https://wiseenglishacademy-app-assets.pages.dev/C011.webp,projects/wiseenglishacademy-fina-v6dt4r/databases/(default)/documents/tracks/bOttkrvA7cHy4EKcyvBE,07/12/2024 11:34,07/12/2024 11:34
