document path,document ID,audioDownloadURL,courseID,courseReference,lessonID,lessonName,lessonThumbURL,notes,videoDownloadLink,videoDownloadURL,youTubeID,created time,updated time
projects/wiseenglishacademy-fina-v6dt4r/databases/(default)/documents/lessons/0h6i4xwILD7LLrot0WHN,0h6i4xwILD7LLrot0WHN,https://pub-70c600aed02b4e479cf5c2ecf8a29129.r2.dev/test/C032-The_Risalah_of_Ibn_abi_Zayd_Al_Qayrawani/WISE423.mp4.mp3,C032,,WISE423,Class 30 - The Risalah of Ibn abi Zayd Al Qayrawani,https://img.youtube.com/vi/jCGe49xt8q4/hqdefault.jpg,,https://pub-70c600aed02b4e479cf5c2ecf8a29129.r2.dev/test/C032-The_Risalah_of_Ibn_abi_Zayd_Al_Qayrawani/WISE423.mp4,https://pub-70c600aed02b4e479cf5c2ecf8a29129.r2.dev/test/C032-The_Risalah_of_Ibn_abi_Zayd_Al_Qayrawani/WISE423.mp4,https://www.youtube.com/watch?v=jCGe49xt8q4,09/06/2025 02:39,09/06/2025 02:39
projects/wiseenglishacademy-fina-v6dt4r/databases/(default)/documents/lessons/3DkeVpg3zaSKAG6AdZ0T,3DkeVpg3zaSKAG6AdZ0T,https://pub-70c600aed02b4e479cf5c2ecf8a29129.r2.dev/test/C032-The_Risalah_of_Ibn_abi_Zayd_Al_Qayrawani/WISE416.mp4.mp3,C032,,WISE416,Class 23 - The Risalah of Ibn abi Zayd Al Qayrawani,https://img.youtube.com/vi/lJ3QomeiE1E/hqdefault.jpg,,https://pub-70c600aed02b4e479cf5c2ecf8a29129.r2.dev/test/C032-The_Risalah_of_Ibn_abi_Zayd_Al_Qayrawani/WISE416.mp4,https://pub-70c600aed02b4e479cf5c2ecf8a29129.r2.dev/test/C032-The_Risalah_of_Ibn_abi_Zayd_Al_Qayrawani/WISE416.mp4,https://www.youtube.com/watch?v=lJ3QomeiE1E,09/06/2025 02:33,09/06/2025 02:33
projects/wiseenglishacademy-fina-v6dt4r/databases/(default)/documents/lessons/5RVRHaIYVeBd4NYujpnv,5RVRHaIYVeBd4NYujpnv,https://pub-70c600aed02b4e479cf5c2ecf8a29129.r2.dev/test/C032-The_Risalah_of_Ibn_abi_Zayd_Al_Qayrawani/WISE413.mp4.mp3,C032,,WISE413,Class 20 - The Risalah of Ibn abi Zayd Al Qayrawani,https://img.youtube.com/vi/HTRzGw1qwqQ/hqdefault.jpg,,https://pub-70c600aed02b4e479cf5c2ecf8a29129.r2.dev/test/C032-The_Risalah_of_Ibn_abi_Zayd_Al_Qayrawani/WISE413.mp4,https://pub-70c600aed02b4e479cf5c2ecf8a29129.r2.dev/test/C032-The_Risalah_of_Ibn_abi_Zayd_Al_Qayrawani/WISE413.mp4,https://www.youtube.com/watch?v=HTRzGw1qwqQ,09/06/2025 02:30,09/06/2025 02:30
projects/wiseenglishacademy-fina-v6dt4r/databases/(default)/documents/lessons/8DzNMcqav6gg8F7lxrbn,8DzNMcqav6gg8F7lxrbn,https://pub-70c600aed02b4e479cf5c2ecf8a29129.r2.dev/test/C031-Theory_of_Fiqh_based_on_Usul_ash_Shashi/WISE431.mp4.mp3,C031,,WISE431,Class 17 - Theory of Fiqh based on Usul ash Shashi,https://img.youtube.com/vi/guWkoLA8ZO8/hqdefault.jpg,,https://pub-70c600aed02b4e479cf5c2ecf8a29129.r2.dev/test/C031-Theory_of_Fiqh_based_on_Usul_ash_Shashi/WISE431.mp4,https://pub-70c600aed02b4e479cf5c2ecf8a29129.r2.dev/test/C031-Theory_of_Fiqh_based_on_Usul_ash_Shashi/WISE431.mp4,https://www.youtube.com/watch?v=guWkoLA8ZO8,09/06/2025 02:50,09/06/2025 02:50
projects/wiseenglishacademy-fina-v6dt4r/databases/(default)/documents/lessons/8QSQiKTw53BnNfPTl2o3,8QSQiKTw53BnNfPTl2o3,https://pub-70c600aed02b4e479cf5c2ecf8a29129.r2.dev/test/C030-Islamic_Ethics_and_Behaviour/WISE438.mp4.mp3,C030,,WISE438,Class 22 - Islamic Ethics and Behaviour with Shaykh Mufti Numan Limbada,https://img.youtube.com/vi/OUlbjHIRdaU/hqdefault.jpg,,https://pub-70c600aed02b4e479cf5c2ecf8a29129.r2.dev/test/C030-Islamic_Ethics_and_Behaviour/WISE438.mp4,https://pub-70c600aed02b4e479cf5c2ecf8a29129.r2.dev/test/C030-Islamic_Ethics_and_Behaviour/WISE438.mp4,https://www.youtube.com/watch?v=OUlbjHIRdaU,09/06/2025 02:56,09/06/2025 02:56
projects/wiseenglishacademy-fina-v6dt4r/databases/(default)/documents/lessons/8ZIRvvbkFbhK4rX7594w,8ZIRvvbkFbhK4rX7594w,https://pub-70c600aed02b4e479cf5c2ecf8a29129.r2.dev/test/C032-The_Risalah_of_Ibn_abi_Zayd_Al_Qayrawani/WISE426.mp4.mp3,C032,,WISE426,Class 33 - The Risalah of Ibn abi Zayd Al Qayrawani,https://img.youtube.com/vi/mAyCiay0hCQ/hqdefault.jpg,,https://pub-70c600aed02b4e479cf5c2ecf8a29129.r2.dev/test/C032-The_Risalah_of_Ibn_abi_Zayd_Al_Qayrawani/WISE426.mp4,https://pub-70c600aed02b4e479cf5c2ecf8a29129.r2.dev/test/C032-The_Risalah_of_Ibn_abi_Zayd_Al_Qayrawani/WISE426.mp4,https://www.youtube.com/watch?v=mAyCiay0hCQ,09/06/2025 02:41,09/06/2025 02:41
projects/wiseenglishacademy-fina-v6dt4r/databases/(default)/documents/lessons/9CwUpSN0MIzjQlfE1pF2,9CwUpSN0MIzjQlfE1pF2,https://pub-70c600aed02b4e479cf5c2ecf8a29129.r2.dev/test/C032-The_Risalah_of_Ibn_abi_Zayd_Al_Qayrawani/WISE411.mp4.mp3,C032,,WISE411,Class 18 - The Risalah of Ibn abi Zayd Al Qayrawani,https://img.youtube.com/vi/NcirtmyuFis/hqdefault.jpg,,https://pub-70c600aed02b4e479cf5c2ecf8a29129.r2.dev/test/C032-The_Risalah_of_Ibn_abi_Zayd_Al_Qayrawani/WISE411.mp4,https://pub-70c600aed02b4e479cf5c2ecf8a29129.r2.dev/test/C032-The_Risalah_of_Ibn_abi_Zayd_Al_Qayrawani/WISE411.mp4,https://www.youtube.com/watch?v=NcirtmyuFis,09/06/2025 02:27,09/06/2025 02:27
projects/wiseenglishacademy-fina-v6dt4r/databases/(default)/documents/lessons/EDV1YTn6NSm5zXl3OG17,EDV1YTn6NSm5zXl3OG17,https://pub-70c600aed02b4e479cf5c2ecf8a29129.r2.dev/test/C031-Theory_of_Fiqh_based_on_Usul_ash_Shashi/WISE429.mp4.mp3,C031,,WISE429,Class 15 - Theory of Fiqh based on Usul ash Shashi,https://img.youtube.com/vi/ItA6zUNxfsU/hqdefault.jpg,,https://pub-70c600aed02b4e479cf5c2ecf8a29129.r2.dev/test/C031-Theory_of_Fiqh_based_on_Usul_ash_Shashi/WISE429.mp4,https://pub-70c600aed02b4e479cf5c2ecf8a29129.r2.dev/test/C031-Theory_of_Fiqh_based_on_Usul_ash_Shashi/WISE429.mp4,https://www.youtube.com/watch?v=ItA6zUNxfsU,09/06/2025 02:48,09/06/2025 02:48
projects/wiseenglishacademy-fina-v6dt4r/databases/(default)/documents/lessons/EwWcT8v1CdwQjVSFYr6R,EwWcT8v1CdwQjVSFYr6R,https://pub-70c600aed02b4e479cf5c2ecf8a29129.r2.dev/test/C031-Theory_of_Fiqh_based_on_Usul_ash_Shashi/WISE432.mp4.mp3,C031,,WISE432,Class 18 - Theory of Fiqh based on Usul ash Shashi,https://img.youtube.com/vi/WJHc9mVv-gI/hqdefault.jpg,,https://pub-70c600aed02b4e479cf5c2ecf8a29129.r2.dev/test/C031-Theory_of_Fiqh_based_on_Usul_ash_Shashi/WISE432.mp4,https://pub-70c600aed02b4e479cf5c2ecf8a29129.r2.dev/test/C031-Theory_of_Fiqh_based_on_Usul_ash_Shashi/WISE432.mp4,https://www.youtube.com/watch?v=WJHc9mVv-gI,09/06/2025 02:51,09/06/2025 02:51
projects/wiseenglishacademy-fina-v6dt4r/databases/(default)/documents/lessons/FcjddZDTDvDunEZW8yZw,FcjddZDTDvDunEZW8yZw,https://pub-70c600aed02b4e479cf5c2ecf8a29129.r2.dev/test/C030-Islamic_Ethics_and_Behaviour/WISE440.mp4.mp3,C030,,WISE440,Class 24 - Islamic Ethics and Behaviour with Shaykh Mufti Numan Limbada,https://img.youtube.com/vi/rrxt4IYbFbI/hqdefault.jpg,,https://pub-70c600aed02b4e479cf5c2ecf8a29129.r2.dev/test/C030-Islamic_Ethics_and_Behaviour/WISE440.mp4,https://pub-70c600aed02b4e479cf5c2ecf8a29129.r2.dev/test/C030-Islamic_Ethics_and_Behaviour/WISE440.mp4,https://www.youtube.com/watch?v=rrxt4IYbFbI,09/06/2025 02:58,09/06/2025 02:58
